game_id,season,week,date,home_team,away_team,spread_home,spread_open,total_line,total_open,provider,n_providers
400603827,2015,1,2015-09-05,Alabama,Wisconsin,-10.0,,,,consensus,3
400603828,2015,1,2015-09-05,Arkansas,UTEP,-35.0,,,,consensus,3
400603829,2015,1,2015-09-05,Auburn,Louisville,-10.5,,,,consensus,3
400603830,2015,1,2015-09-05,Florida,New Mexico State,-38.0,,,,consensus,3
400603831,2015,1,2015-09-05,Georgia,UL Monroe,-31.0,,,,consensus,3
400603832,2015,1,2015-09-05,Kentucky,Louisiana,-17.0,,58.0,,teamrankings,2
400603836,2015,1,2015-09-05,Southern Miss,Mississippi State,13.0,,,,consensus,3
400603838,2015,1,2015-09-05,Texas A&M,Arizona State,-3.0,,,,consensus,3
400603839,2015,1,2015-09-03,Vanderbilt,Western Kentucky,-17.5,,,,consensus,3
400603840,2015,1,2015-09-03,South Carolina,North Carolina,-3.5,,,,consensus,3
400603841,2015,4,2015-09-26,Alabama,UL Monroe,-39.0,,,,consensus,3
400603842,2015,4,2015-09-26,Arkansas,Texas A&M,3.5,,,,consensus,3
400603843,2015,4,2015-09-26,Auburn,Mississippi State,-3.5,,,,consensus,3
400603844,2015,4,2015-09-26,Florida,Tennessee,-3.0,,,,consensus,3
400603845,2015,4,2015-09-26,Georgia,Southern,-52.0,,,,consensus,1
400603846,2015,4,2015-09-26,Kentucky,Missouri,-2.5,,,,consensus,3
400603847,2015,4,2015-09-26,Ole Miss,Vanderbilt,-28.0,,,,consensus,3
400603848,2015,4,2015-09-26,South Carolina,UCF,-12.5,,,,consensus,3
400603849,2015,4,2015-09-26,Syracuse,LSU,24.0,,,,consensus,3
400603850,2015,3,2015-09-19,Alabama,Ole Miss,-8.5,,,,consensus,3
400603851,2015,3,2015-09-19,Arkansas,Texas Tech,-10.5,,,,consensus,3
400603852,2015,3,2015-09-19,Georgia,South Carolina,-15.5,,,,consensus,3
400603853,2015,3,2015-09-19,Kentucky,Florida,4.5,,,,consensus,3
400603854,2015,3,2015-09-19,LSU,Auburn,-6.5,,,,consensus,3
400603855,2015,3,2015-09-19,Mississippi State,Northwestern State,-42.0,,,,consensus,1
400603856,2015,3,2015-09-19,Missouri,UConn,-24.0,,,,consensus,3
400603857,2015,3,2015-09-19,Tennessee,Western Carolina,-34.5,,,,consensus,1
400603858,2015,3,2015-09-19,Texas A&M,Nevada,-25.0,,,,consensus,3
400603859,2015,3,2015-09-19,Vanderbilt,Austin Peay,-39.5,,,,consensus,1
