season,team,ret_ppa,ret_pass_pct,ret_rush_pct,ret_usage
2014,Air Force,96.7,0.417,0.453,0.684
2014,Akron,168.8,1.0,0.48,0.952
2014,Alabama,197.4,0.021,0.915,0.589
2014,Arizona,91.4,0.0,-0.018,0.142
2014,Arizona State,243.5,0.953,0.668,0.713
2014,Arkansas,140.0,0.921,0.941,0.856
2014,Arkansas State,84.5,-0.013,0.325,0.335
2014,Army,173.2,1.0,0.974,0.946
2014,Auburn,233.2,1.0,0.662,0.68
2014,Ball State,-15.5,-0.029,1.195,0.342
2014,Baylor,376.6,1.001,0.497,0.738
2014,Boise State,221.1,0.398,1.43,0.661
2014,Boston College,42.3,-0.005,3.5,0.181
2014,Bowling Green,113.8,-1.0,1.019,0.642
2014,Buffalo,150.7,1.01,-0.113,0.512
2014,BYU,191.7,1.109,0.982,0.861
2014,California,290.2,1.043,0.326,0.742
2014,Central Michigan,232.1,0.981,0.627,0.858
2014,Cincinnati,158.1,0.101,-0.638,0.44
2014,Clemson,115.3,0.161,-0.105,0.288
2014,Colorado,126.0,0.942,0.872,0.718
2014,Colorado State,232.0,1.0,0.293,0.572
2014,Duke,265.2,0.728,0.358,0.728
2014,East Carolina,386.3,1.0,0.527,0.744
2014,Eastern Michigan,120.1,0.137,0.714,0.659
2014,Florida,89.8,0.413,1.73,0.639
2014,Florida Atlantic,161.9,1.007,76.667,0.711
2014,Florida International,83.9,1.867,0.558,0.584
2014,Florida State,281.2,1.0,0.595,0.621
2014,Fresno State,148.3,-0.021,0.717,0.385
2014,Georgia,210.8,0.283,0.013,0.528
2014,Georgia State,144.4,0.957,-0.181,0.7
2014,Georgia Tech,101.9,-0.111,0.434,0.367
2014,Hawai'i,72.5,-0.343,0.552,0.5
2014,Houston,252.7,0.965,0.714,0.884
2014,Idaho,151.4,1.766,0.713,0.575
2014,Illinois,88.7,0.019,0.316,0.387
2014,Indiana,161.4,0.797,0.404,0.546
2014,Iowa,182.3,1.0,1.115,0.952
2014,Iowa State,170.2,0.916,1.272,0.788
2014,Kansas,63.1,4.889,0.031,0.322
2014,Kansas State,228.7,0.792,0.41,0.506
2014,Kent State,150.0,1.016,0.418,0.775
2014,Kentucky,115.9,0.355,-0.748,0.525
2014,Louisiana,259.7,1.016,1.063,0.919
2014,Louisiana Tech,123.0,0.76,1.05,0.683
2014,Louisville,182.6,0.01,-0.2,0.373
2014,LSU,38.2,0.012,-0.014,0.25
2014,Marshall,307.5,0.982,0.814,0.691
2014,Maryland,246.2,1.0,0.673,0.946
2014,Massachusetts,74.4,0.355,0.706,0.692
2014,Memphis,187.9,1.012,0.082,0.888
2014,Miami,108.1,0.171,0.913,0.456
2014,Miami (OH),58.4,-5.636,0.741,0.627
2014,Michigan,214.5,1.006,0.18,0.696
2014,Michigan State,274.4,1.067,0.778,0.969
2014,Middle Tennessee,119.4,0.02,1.654,0.514
2014,Minnesota,150.9,0.436,0.168,0.652
2014,Mississippi State,315.9,0.69,2.359,0.737
2014,Missouri,101.0,0.43,0.359,0.373
2014,Navy,140.5,1.0,0.728,0.882
2014,NC State,58.1,0.024,-0.742,0.337
2014,Nebraska,156.9,0.15,0.947,0.666
2014,Nevada,222.3,1.015,-1.658,0.777
2014,New Mexico,171.0,1.07,0.758,0.727
2014,New Mexico State,129.4,-0.049,1.815,0.351
2014,North Carolina,177.5,0.425,0.651,0.628
2014,Northern Illinois,212.5,0.045,0.54,0.432
2014,North Texas,47.1,0.045,5.433,0.287
2014,Northwestern,206.2,0.76,1.186,0.647
2014,Notre Dame,108.7,0.0,0.542,0.627
2014,Ohio,61.6,0.031,-0.02,0.211
2014,Ohio State,185.3,0.802,0.455,0.571
2014,Oklahoma,156.2,1.064,0.88,0.522
2014,Oklahoma State,139.5,0.359,-4.1,0.472
2014,Ole Miss,229.9,1.062,0.325,0.749
2014,Oregon,292.0,1.019,0.831,0.807
2014,Oregon State,274.6,0.986,1.024,0.805
2014,Penn State,164.0,0.967,0.814,0.85
2014,Pittsburgh,161.6,0.031,0.349,0.548
2014,Purdue,187.1,0.813,1.115,0.748
2014,Rice,100.7,-0.118,0.215,0.253
2014,Rutgers,164.7,0.524,0.992,0.792
2014,San Diego State,181.3,1.098,1.646,0.575
2014,San José State,144.6,-0.005,0.614,0.424
2014,SMU,87.2,0.145,-0.607,0.37
2014,South Alabama,164.3,0.153,0.335,0.489
2014,South Carolina,198.4,0.257,0.403,0.57
2014,Southern Miss,112.4,0.357,0.315,0.581
2014,South Florida,139.2,1.216,0.283,0.486
2014,Stanford,248.9,1.0,0.6,0.568
2014,Syracuse,193.1,0.849,3.392,0.593
2014,TCU,88.2,0.773,0.959,0.592
2014,Temple,125.9,1.319,0.823,0.86
2014,Tennessee,143.8,1.168,1.183,0.649
2014,Texas,108.7,-0.166,0.413,0.565
2014,Texas A&M,109.7,0.04,0.244,0.28
2014,Texas State,104.5,0.641,0.725,0.681
2014,Texas Tech,235.9,0.495,0.848,0.56
2014,Toledo,119.9,1.0,0.517,0.59
2014,Troy,148.7,0.059,0.59,0.415
2014,Tulane,149.3,1.035,1.854,0.709
2014,Tulsa,52.2,0.127,0.458,0.321
2014,UAB,87.3,0.0,0.357,0.289
2014,UCF,157.5,-0.017,-1.197,0.334
2014,UCLA,288.3,0.998,1.096,0.882
2014,UConn,194.8,1.0,0.367,0.76
2014,UL Monroe,138.3,0.208,-4.125,0.42
2014,UNLV,160.9,-0.109,0.209,0.331
2014,USC,219.6,0.918,-0.096,0.759
2014,Utah,143.2,1.0,2.542,0.68
2014,Utah State,168.9,1.001,0.075,0.562
2014,UTEP,138.3,0.967,0.421,0.819
2014,UTSA,200.0,0.026,0.333,0.478
2014,Vanderbilt,22.0,-0.013,-0.04,0.429
2014,Virginia,181.1,1.0,0.559,0.926
2014,Virginia Tech,174.9,0.036,0.779,0.459
2014,Wake Forest,49.4,-0.025,1.01,0.251
2014,Washington,119.9,0.058,0.107,0.306
2014,Washington State,383.2,1.087,-1.25,0.909
2014,Western Kentucky,281.9,1.021,-0.054,0.657
2014,Western Michigan,100.3,-7.565,4.842,0.577
2014,West Virginia,169.0,0.832,0.917,0.683
2014,Wisconsin,149.3,1.087,0.626,0.617
2014,Wyoming,81.1,-0.047,0.367,0.275
2015,Air Force,201.2,0.134,0.686,0.646
2015,Akron,69.4,1.304,1.003,0.758
2015,Alabama,137.2,0.101,0.281,0.251
2015,App State,402.8,0.994,0.972,0.93
2015,Arizona,399.3,1.0,0.949,0.861
2015,Arizona State,217.1,0.408,0.656,0.536
2015,Arkansas,316.0,0.965,0.863,0.942
2015,Arkansas State,375.7,1.023,1.011,0.96
