season,team,sp_overall,sp_off,sp_def
2014,Alabama,34.3,44.5,10.7
2014,Florida State,28.5,45.0,18.9
2014,Georgia,27.6,44.2,16.8
2014,Ohio State,25.8,45.6,20.1
2014,Oregon,24.7,48.1,23.2
2014,Auburn,24.2,45.2,22.1
2014,Michigan State,24.1,42.5,17.9
2014,Baylor,23.9,43.0,19.5
2014,TCU,23.3,39.3,17.5
2014,Mississippi State,22.2,43.2,20.7
2014,LSU,21.5,34.2,13.3
2014,Stanford,21.4,33.5,12.0
2014,Wisconsin,20.8,38.7,18.1
2014,Ole Miss,20.7,35.4,14.4
2014,Texas A&M,20.2,43.6,26.3
2014,Missouri,19.3,33.0,15.2
2014,Oklahoma,19.2,39.9,22.2
2014,Clemson,18.1,29.0,11.6
2014,UCLA,17.7,39.9,23.0
2014,South Carolina,17.4,43.6,26.5
2014,Florida,17.3,29.8,14.1
2014,USC,17.1,38.8,22.5
2014,Louisville,17.0,34.0,16.7
2014,Marshall,16.8,38.4,23.1
2014,Kansas State,16.3,37.7,23.2
2014,Pittsburgh,14.1,37.4,25.3
2014,Miami,13.9,35.0,21.3
2014,Arizona State,13.5,36.1,23.3
2014,Nebraska,13.1,33.8,21.0
2014,Tennessee,12.2,31.0,19.9
2014,Arkansas,12.2,32.4,19.4
2014,Boise State,11.6,36.6,24.7
2014,Georgia Tech,11.2,44.1,32.0
2014,Notre Dame,10.8,37.5,26.0
2014,BYU,10.2,33.1,24.1
2014,Penn State,9.2,20.6,11.0
2014,Texas,9.0,26.0,17.2
2014,Utah,8.8,29.1,23.0
2014,Oklahoma State,8.6,32.0,24.0
2014,East Carolina,8.5,34.7,24.6
2014,West Virginia,8.4,31.3,24.3
2014,Michigan,8.2,27.0,19.0
2014,NC State,8.1,34.1,27.1
2014,Virginia Tech,7.8,25.7,17.2
2014,Washington,7.8,28.5,21.8
2014,Arizona,7.6,33.4,25.7
2014,Duke,7.0,29.6,25.1
2014,Cincinnati,6.9,36.3,29.8
2014,Minnesota,6.8,29.7,24.3
2014,Iowa,6.8,32.5,24.2
2014,Kentucky,6.6,29.8,24.8
2014,Utah State,6.0,25.2,18.6
2014,UCF,5.7,25.8,19.7
