game_id,season,date,home_team,away_team,odds_source,is_closing,price_home,price_draw,price_away,overround_1x2,ah_home,price_ah_home,price_ah_away,total_line,price_over,price_under,mkt_p_home,mkt_p_draw,mkt_p_away,mkt_sup,mkt_total
2003_arsenal_everton,2003,2003-08-16,Arsenal,Everton,"OddHome/OddDraw/OddAway,HandiSize/HandiHome/HandiAway",False,1.4,3.8,8.0,1.1024,-1.3,1.9,1.9,,,,0.6716,0.231,0.0974,1.3,
2003_birmingham_tottenham,2003,2003-08-16,Birmingham,Tottenham,"OddHome/OddDraw/OddAway,HandiSize/HandiHome/HandiAway",False,2.38,3.25,2.75,1.0915,-0.3,2.05,1.75,,,,0.3884,0.2785,0.3331,0.3,
2003_blackburn_wolves,2003,2003-08-16,Blackburn,Wolves,"OddHome/OddDraw/OddAway,HandiSize/HandiHome/HandiAway",False,1.62,3.4,5.5,1.0932,-0.8,1.95,1.85,,,,0.5805,0.2644,0.155,0.8,
2003_fulham_middlesbrough,2003,2003-08-16,Fulham,Middlesbrough,"OddHome/OddDraw/OddAway,HandiSize/HandiHome/HandiAway",False,2.3,3.25,2.8,1.0996,0.0,1.8,2.0,,,,0.3999,0.2759,0.3241,-0.0,
2003_leicester_southampton,2003,2003-08-16,Leicester,Southampton,"OddHome/OddDraw/OddAway,HandiSize/HandiHome/HandiAway",False,2.5,3.2,2.6,1.0971,0.0,1.85,1.95,,,,0.3668,0.2814,0.3518,-0.0,
2003_manunited_bolton,2003,2003-08-16,Man United,Bolton,"OddHome/OddDraw/OddAway,HandiSize/HandiHome/HandiAway",False,1.29,4.5,10.0,1.0974,-1.8,1.95,1.85,,,,0.7331,0.1923,0.0745,1.8,
2003_portsmouth_astonvilla,2003,2003-08-16,Portsmouth,Aston Villa,"OddHome/OddDraw/OddAway,HandiSize/HandiHome/HandiAway",False,2.38,3.25,2.75,1.0915,-0.3,2.05,1.75,,,,0.3884,0.2785,0.3331,0.3,
2003_charlton_mancity,2003,2003-08-17,Charlton,Man City,"OddHome/OddDraw/OddAway,HandiSize/HandiHome/HandiAway",False,2.25,3.4,2.75,1.1022,-0.3,2.05,1.75,,,,0.4085,0.2619,0.3296,0.3,
2003_leeds_newcastle,2003,2003-08-17,Leeds,Newcastle,"OddHome/OddDraw/OddAway,HandiSize/HandiHome/HandiAway",False,2.75,3.25,2.38,1.0915,0.3,1.8,2.0,,,,0.3331,0.2785,0.3884,-0.3,
2003_liverpool_chelsea,2003,2003-08-17,Liverpool,Chelsea,"OddHome/OddDraw/OddAway,HandiSize/HandiHome/HandiAway",False,2.25,3.25,2.88,1.0994,-0.3,2.05,1.85,,,,0.4094,0.276,0.3145,0.3,
2003_bolton_blackburn,2003,2003-08-23,Bolton,Blackburn,"OddHome/OddDraw/OddAway,HandiSize/HandiHome/HandiAway",False,2.5,3.3,2.5,1.103,0.0,1.9,1.9,,,,0.3648,0.2703,0.3648,-0.0,
