game_id,season,matchweek,date,kickoff,kickoff_uk,league,home_team,away_team,is_derby,travel_km,no_crowd,h_promoted,a_promoted,h_in_europe,a_in_europe,h_rest,a_rest,rest_diff,h_games,a_games,exp_sup,exp_total,ah_home,total_line,mkt_sup,mkt_total,mkt_p_home,mkt_p_draw,mkt_p_away,odds_source,is_closing,price_home,price_draw,price_away,price_over,price_under,price_ah_home,price_ah_away,book_1x2,book_ou,total_pred,total_raw,total_edge,total_side_val,total_disagree,total_model,sup_pred,sup_raw,sup_edge,sup_side_val,sup_disagree,sup_model,ah_pick,total_pick,x2_pick,x2_side,score,p_home,p_draw,p_away,p_btts,score_prob,fair_ah,ah_p_win,ah_p_push,ah_price,ah_ev,ah_stake,total_p_win,total_p_push,total_price,total_ev,total_stake,x2_p_win,x2_price,x2_ev,x2_stake,x2_mkt_p,x2_edge_pct,thin_data,ah_strength,total_strength,spread_strength,prediction_date,x2_strength
2026_astonvilla_nottmforest,2026,7,2026-09-12,15:00,"Sat 12 Sep, 15:00",E0,Aston Villa,Nott'm Forest,0,69.7,0,0,0,1,0,12.0,14.0,-2.0,2,2,0.0734083764082593,2.7581566641644657,-0.25,2.5,0.25,2.627,0.4302173320644865,0.2814556957689089,0.2883269721666044,odds-api:Pinnacle,False,2.27,3.44,3.36,2.0,1.91,1.96,1.96,Pinnacle,Pinnacle,2.611,2.548,-0.016,-0.0157410911560056,-0.079,total_market,0.25,0.08,0.0,0.0,-0.17,sup_market,Nott'm Forest +0.25,Under 2.5,Nott'm Forest,away,1-1,0.4229,0.2707,0.3063,0.5321,0.129,-0.25,0.4417,0.1354,1.96,0.0011,,0.5157,0.0,1.91,-0.0151,,0.3063,3.36,0.0292,,0.2883,6.2,True,pass,pass,pass,2026-09-12,pass
2026_bournemouth_brentford,2026,7,2026-09-12,15:00,"Sat 12 Sep, 15:00",E0,Bournemouth,Brentford,0,137.0,0,0,0,1,0,14.0,13.0,1.0,2,2,0.3002960693912293,2.698771978737964,0.0,3.0,-0.0,3.616,0.3949246676478485,0.261290122439865,0.3437852099122864,odds-api:Pinnacle,False,2.47,3.7,2.83,2.0,1.91,1.83,2.11,Pinnacle,Pinnacle,3.518,3.126,-0.098,-0.0979550010681151,-0.49,total_market,0.0,0.185,0.0,0.0,0.185,sup_market,Brentford -0.00,Under 3,Brentford,away,1-1,0.3852,0.2295,0.3852,0.6889,0.0954,0.0,0.3852,0.2295,2.11,0.0424,,0.3175,0.2152,1.91,-0.1783,,0.3852,2.83,0.0902,,0.3438,12.1,True,pass,pass,pass,2026-09-12,thin
2026_chelsea_hull,2026,7,2026-09-12,15:00,"Sat 12 Sep, 15:00",E0,Chelsea,Hull,0,252.1,0,0,1,0,1,13.0,14.0,-1.0,2,2,0.4796934571569196,3.0172847760891828,-2.0,3.5,2.0,3.597,0.8085011121111217,0.1271180570069811,0.0643808308818972,odds-api:Pinnacle,False,1.21,7.22,13.36,2.0,1.88,1.98,1.93,Pinnacle,Pinnacle,3.636,3.791,0.039,0.0388682609558106,0.194,total_market,2.0,2.135,0.0,0.0,0.135,sup_market,Hull +2.00,Over 3.5,Hull,away,2-0,0.7841,0.1374,0.0785,0.5277,0.1047,-2.0,0.4134,0.2122,1.93,0.0101,,0.4923,0.0,2.0,-0.0154,,0.0785,13.36,0.0492,,0.0644,22.0,True,pass,pass,pass,2026-09-12,pass
2026_crystalpalace_ipswich,2026,7,2026-09-12,15:00,"Sat 12 Sep, 15:00",E0,Crystal Palace,Ipswich,0,111.9,0,0,1,0,1,15.0,13.0,2.0,2,2,0.6014283779723453,2.954461156350044,-0.5,2.75,0.5,2.685,0.5037978615092039,0.2520560933555268,0.2441460451352693,odds-api:Pinnacle,False,1.94,3.82,3.94,1.94,1.96,1.95,1.97,Pinnacle,Pinnacle,2.664,2.581,-0.021,-0.0207021827697753,-0.104,total_market,0.5,0.567,0.0,0.0,0.067,sup_market,Ipswich +0.50,Under 2.75,Ipswich,away,1-1,0.4845,0.2603,0.2551,0.53,0.124,-0.5,0.5155,0.0,1.97,0.0155,,0.5025,0.0,1.96,-0.0151,,0.2551,3.94,0.0053,,0.2441,4.5,True,pass,pass,pass,2026-09-12,pass
2026_liverpool_fulham,2026,7,2026-09-12,15:00,"Sat 12 Sep, 15:00",E0,Liverpool,Fulham,0,285.9,0,0,0,1,0,14.0,13.0,1.0,2,2,0.6987506592049895,2.945122309964586,-1.25,3.25,1.25,3.685,0.6435176360898192,0.2026511651741811,0.1538311987359996,odds-api:Pinnacle,False,1.52,4.69,6.1,1.94,1.96,2.11,1.83,Pinnacle,Pinnacle,3.624,3.381,-0.061,-0.0607788677215577,-0.304,total_market,1.25,1.074,0.0,0.0,-0.176,sup_market,Fulham +1.25,Under 3.25,Fulham,away,2-1,0.6456,0.1874,0.167,0.6372,0.094,-1.25,0.4614,0.107,1.83,-0.0486,,0.5102,0.0,1.96,-0.0001,,0.167,6.1,0.0189,,0.1538,8.6,True,pass,pass,pass,2026-09-12,pass
2026_tottenham_everton,2026,7,2026-09-12,17:30,"Sat 12 Sep, 17:30",E0,Tottenham,Everton,0,283.0,0,0,0,0,0,14.0,14.0,0.0,2,2,-0.2826788824910236,2.5479351280847715,-0.5,2.75,0.5,2.722,0.4865691494504238,0.2546091205689449,0.2588217299806313,odds-api:Pinnacle,False,2.01,3.79,3.73,1.91,2.0,2.02,1.91,Pinnacle,Pinnacle,2.721,2.717,-0.001,-0.0010223144531251,-0.005,total_market,0.5,0.544,0.0,0.0,0.044,sup_market,Everton +0.50,Under 2.75,Draw,draw,1-1,0.485,0.2573,0.2577,0.5413,0.1224,-0.5,0.515,0.0,1.91,-0.0164,,0.4885,0.0,2.0,-0.023,,0.2573,3.79,-0.025,,0.2546,1.0,True,pass,pass,pass,2026-09-12,pass
2026_sunderland_arsenal,2026,7,2026-09-12,20:00,"Sat 12 Sep, 20:00",E0,Sunderland,Arsenal,0,383.1,0,0,0,0,1,13.0,12.0,1.0,2,2,-0.6723045200479509,2.2583561695538874,1.0,2.25,-1.0,2.766,0.140910270242573,0.2513327427441068,0.6077569870133203,odds-api:Pinnacle,False,6.65,3.82,1.61,1.87,2.04,1.81,2.14,Pinnacle,Pinnacle,2.709,2.48,-0.057,-0.0572223121643067,-0.286,total_market,-1.0,-0.762,0.0,0.0,0.238,sup_market,Arsenal -1.00,Under 2.25,Sunderland,home,0-1,0.1639,0.2305,0.6055,0.4888,0.1193,1.0,0.3588,0.2467,2.14,0.0146,,0.4914,0.0,2.04,0.0025,,0.1639,6.65,0.0901,,0.1409,16.3,True,pass,pass,pass,2026-09-12,thin
2026_coventry_brighton,2026,7,2026-09-13,14:00,"Sun 13 Sep, 14:00",E0,Coventry,Brighton,0,201.5,0,1,0,1,0,15.0,14.0,1.0,2,2,-0.6656106488046998,2.8098309728773385,0.5,2.75,-0.5,2.803,0.2490444101910107,0.253746251695552,0.4972093381134371,odds-api:Pinnacle,False,3.88,3.81,1.97,1.84,2.08,1.94,1.98,Pinnacle,Pinnacle,2.814,2.858,0.011,0.0110049194335939,0.055,total_market,-0.5,-0.766,0.0,0.0,-0.266,sup_market,Brighton -0.50,Over 2.75,Coventry,home,1-1,0.2618,0.2525,0.4858,0.5594,0.1196,0.5,0.4858,0.0,1.98,-0.0382,,0.5339,0.0,1.84,-0.0177,,0.2618,3.88,0.0156,,0.249,5.1,True,pass,pass,pass,2026-09-13,pass
2026_manunited_mancity,2026,7,2026-09-13,16:30,"Sun 13 Sep, 16:30",E0,Man United,Man City,1,6.4,0,0,0,1,1,14.0,16.0,-2.0,2,2,-0.2349742785663426,3.266911037787289,0.25,3.0,-0.25,3.761,0.306191880237582,0.2515435982950203,0.4422645214673977,odds-api:Pinnacle,False,3.17,3.84,2.21,1.88,2.02,1.98,1.94,Pinnacle,Pinnacle,3.655,3.231,-0.106,-0.1060552284240721,-0.53,total_market,-0.25,-0.375,0.0,0.0,-0.125,sup_market,Man City -0.25,Under 3,Man United,home,1-1,0.3384,0.2228,0.4387,0.7052,0.0894,0.25,0.4387,0.1114,1.94,-0.0374,,0.2931,0.2105,2.02,-0.1974,,0.3384,3.17,0.0728,,0.3062,10.5,True,pass,pass,pass,2026-09-13,thin
2026_leeds_newcastle,2026,7,2026-09-14,20:00,"Mon 14 Sep, 20:00",E0,Leeds,Newcastle,0,133.2,0,0,0,0,0,15.0,16.0,-1.0,2,2,0.1509026399679176,2.731408659320713,0.0,2.5,-0.0,2.909,0.4142115342092605,0.2755632767339557,0.3102251890567837,odds-api:Betfair,False,2.4,3.6,3.2,1.7,2.1,1.72,2.3,Betfair,William Hill,2.9,2.864,-0.009,-0.008904663848877,-0.045,total_market,0.0,0.05,0.0,0.0,0.05,sup_market,Newcastle -0.00,Under 2.5,Newcastle,away,1-1,0.3715,0.257,0.3715,0.5905,0.1203,0.0,0.3715,0.257,2.3,0.1114,,0.446,0.0,2.1,-0.0635,,0.3715,3.2,0.1888,,0.3102,19.7,True,pass,pass,pass,2026-09-14,thin
