season,league,team,played,att_goals,def_goals,att_shots,def_shots,ppg,gd_per_game,position,promoted
2003,E0,Arsenal,33,1.3799,0.5407,1.1319,0.7108,2.333,1.152,1,0
2003,E0,Chelsea,33,1.4466,0.628,1.019,0.6584,2.152,1.091,2,0
2003,E0,Man United,34,1.304,0.7421,1.1448,0.7999,1.941,0.765,3,0
2003,E0,Liverpool,33,1.0681,0.7261,1.2095,0.7808,1.667,0.515,4,0
2003,E0,Newcastle,34,1.0208,0.7803,1.0778,0.8376,1.529,0.353,5,0
2003,E0,Aston Villa,34,0.9152,0.8393,0.982,0.9866,1.5,0.147,6,0
2003,E0,Birmingham,34,0.8669,0.9124,0.7395,0.9614,1.412,-0.059,7,0
2003,E0,Fulham,33,1.0265,0.9583,0.9203,1.0086,1.364,0.121,8,0
2003,E0,Bolton,34,0.9557,1.1251,1.2379,1.0197,1.353,-0.265,9,0
2003,E0,Charlton,34,1.0162,1.0562,0.8782,1.25,1.324,-0.059,10,0
2003,E0,Middlesbrough,35,0.8551,0.9889,1.0378,1.054,1.257,-0.171,11,0
2003,E0,Tottenham,33,1.0084,1.153,0.9647,1.1925,1.242,-0.212,12,0
2003,E0,Southampton,33,0.7327,0.784,1.1168,1.2258,1.212,-0.091,13,0
2003,E0,Blackburn,33,1.0354,1.1226,1.0084,1.0476,1.121,-0.152,14,0
2003,E0,Man City,33,1.0234,1.0149,1.2451,0.8598,1.061,-0.03,15,0
2003,E0,Portsmouth,34,0.8244,1.1276,0.8921,1.0269,1.029,-0.412,16,0
2003,E0,Everton,34,0.9096,1.1189,0.9297,1.068,1.0,-0.294,17,0
2003,E0,Leicester,33,1.0535,1.3134,0.9098,1.0596,1.0,-0.333,18,0
2003,E0,Wolves,33,0.7534,1.4608,0.7825,1.185,0.939,-1.0,19,0
2003,E0,Leeds,33,0.8044,1.6072,0.7723,1.2667,0.788,-1.061,20,0
2004,E0,Chelsea,33,1.4244,0.2945,1.3655,0.6096,2.485,1.515,1,0
2004,E0,Arsenal,33,1.7135,0.8141,1.3221,0.6248,2.152,1.212,2,0
2004,E0,Man United,33,1.1213,0.4821,1.4237,0.7113,2.03,0.848,3,0
2004,E0,Everton,33,0.9507,0.7983,0.8217,1.17,1.727,0.212,4,0
2004,E0,Liverpool,34,1.1084,0.8326,1.0544,0.694,1.588,0.382,5,0
2004,E0,Bolton,34,0.9931,0.8868,1.1344,0.917,1.559,0.176,6,0
2004,E0,Tottenham,34,0.9597,0.8913,1.1014,0.9,1.412,0.118,7,0
2004,E0,Middlesbrough,33,1.1072,1.0532,1.1842,1.0415,1.394,0.061,8,0
2004,E0,Aston Villa,34,0.9349,0.9716,0.8895,1.0362,1.353,-0.029,9,0
2004,E0,Charlton,34,0.9273,1.166,0.7877,1.2271,1.324,-0.294,10,0
2004,E0,Man City,34,0.9684,0.8478,0.9539,0.7865,1.294,0.147,11,0
2004,E0,Newcastle,32,1.0282,1.2759,1.1916,1.0261,1.188,-0.281,12,0
2004,E0,Blackburn,33,0.6922,0.8542,0.9251,0.9194,1.182,-0.242,13,0
2004,E0,Birmingham,34,0.8106,0.9711,0.7759,0.868,1.118,-0.206,14,0
2004,E0,Fulham,33,0.9401,1.2624,0.8039,1.0596,1.061,-0.424,15,0
2004,E0,Portsmouth,34,0.8998,1.2088,0.8759,1.1832,1.029,-0.441,16,0
2004,E0,West Brom,33,0.7639,1.2694,0.8262,1.0638,0.879,-0.636,17,0
2004,E0,Southampton,34,0.8864,1.26,0.8593,1.2443,0.824,-0.529,18,0
2004,E0,Crystal Palace,34,0.8659,1.3333,0.8408,1.3963,0.794,-0.647,19,0
2004,E0,Norwich,34,0.904,1.5264,0.863,1.5213,0.794,-0.882,20,0
2005,E0,Chelsea,38,1.4886,0.4797,1.2774,0.6067,2.395,1.316,1,0
2005,E0,Man United,38,1.5089,0.7421,1.3416,0.9347,2.184,1.0,2,0
2005,E0,Liverpool,38,1.1819,0.5362,1.3048,0.6028,2.158,0.842,3,0
2005,E0,Arsenal,38,1.42,0.6734,1.2717,0.7306,1.763,0.974,4,0
2005,E0,Tottenham,38,1.1148,0.8121,1.1033,1.0317,1.711,0.395,5,0
2005,E0,Blackburn,38,1.0774,0.8958,0.853,0.8127,1.658,0.237,6,0
2005,E0,Newcastle,38,0.9927,0.8918,0.9784,0.9874,1.526,0.132,7,0
2005,E0,Bolton,38,1.0339,0.8725,0.9269,0.8956,1.474,0.211,8,0
2005,E0,West Ham,38,1.1149,1.1754,0.8241,1.2266,1.447,-0.079,9,0
2005,E0,Wigan,38,0.961,1.1023,0.9773,1.0578,1.342,-0.184,10,0
2005,E0,Everton,38,0.7232,1.0259,0.974,1.0858,1.316,-0.395,11,0
2005,E0,Fulham,38,1.0323,1.2341,0.8438,1.1345,1.263,-0.263,12,0
2005,E0,Charlton,38,0.8783,1.1609,0.8724,1.239,1.237,-0.368,13,0
2005,E0,Middlesbrough,38,1.0323,1.2341,1.0409,1.184,1.184,-0.263,14,0
2005,E0,Man City,38,0.9141,1.015,0.9941,0.927,1.132,-0.132,15,0
2005,E0,Aston Villa,38,0.8998,1.1622,0.9363,1.1822,1.105,-0.342,16,0
2005,E0,Portsmouth,38,0.7987,1.3032,1.0439,0.9813,1.0,-0.658,17,0
2005,E0,Birmingham,38,0.596,1.04,0.7893,0.9637,0.895,-0.579,18,0
2005,E0,West Brom,38,0.6659,1.2107,0.775,1.1909,0.789,-0.711,19,0
2005,E0,Sunderland,38,0.5652,1.4329,0.8717,1.225,0.395,-1.132,20,0
2006,E0,Man United,38,1.7509,0.6053,1.5605,0.8347,2.342,1.474,1,0
2006,E0,Chelsea,38,1.3446,0.5264,1.2208,0.5868,2.184,1.053,2,0
2006,E0,Arsenal,38,1.3402,0.7674,1.2545,0.7604,1.789,0.737,3,0
2006,E0,Liverpool,38,1.2013,0.5876,1.2907,0.6217,1.789,0.789,4,0
2006,E0,Tottenham,38,1.239,1.1776,1.0852,0.9016,1.579,0.079,5,0
2006,E0,Everton,38,1.1069,0.7796,0.9233,1.1506,1.526,0.421,6,0
2006,E0,Bolton,38,1.0186,1.1208,0.8449,0.9542,1.474,-0.132,7,0
2006,E0,Reading,38,1.1208,1.0186,0.7895,1.1699,1.447,0.132,8,0
2006,E0,Portsmouth,38,0.9641,0.9027,1.0809,1.0678,1.421,0.079,9,0
2006,E0,Blackburn,38,1.1299,1.1708,0.9728,1.3007,1.368,-0.053,10,0
2006,E0,Aston Villa,38,0.9201,0.8792,0.971,0.9973,1.316,0.053,11,0
2006,E0,Middlesbrough,38,0.9501,1.0524,0.8877,1.0844,1.211,-0.132,12,0
2006,E0,Newcastle,38,0.8184,1.0025,0.9822,1.214,1.132,-0.237,13,0
2006,E0,Man City,38,0.6222,0.929,0.9281,0.8712,1.105,-0.395,14,0
2006,E0,West Ham,38,0.7639,1.2549,0.9321,1.142,1.079,-0.632,15,0
2006,E0,Fulham,38,0.8305,1.2806,0.8248,1.0216,1.026,-0.579,16,0
2006,E0,Sheffield United,38,0.6951,1.1656,0.9297,0.9997,1.0,-0.605,17,0
2006,E0,Wigan,38,0.8077,1.2578,0.9406,0.9406,1.0,-0.579,18,0
2006,E0,Charlton,38,0.7429,1.2748,0.7825,1.2241,0.895,-0.684,19,0
2006,E0,Watford,38,0.6327,1.2464,0.7983,1.1568,0.737,-0.789,20,0
2007,E0,Man United,38,1.5574,0.4539,1.4765,0.8352,2.289,1.526,1,0
2007,E0,Chelsea,38,1.2703,0.5282,1.1237,0.7389,2.237,1.026,2,0
2007,E0,Arsenal,38,1.4542,0.6361,1.2046,0.7677,2.184,1.132,3,0
2007,E0,Liverpool,38,1.3122,0.5701,1.3203,0.5708,2.0,1.026,4,0
2007,E0,Everton,38,1.0824,0.6638,0.9809,0.8767,1.711,0.579,5,0
2007,E0,Aston Villa,38,1.4253,1.0448,0.9308,0.9669,1.579,0.526,6,0
2007,E0,Blackburn,38,0.9993,0.9613,1.0017,1.0338,1.526,0.053,7,0
2007,E0,Portsmouth,38,0.9513,0.7991,1.1289,1.0407,1.5,0.211,8,0
2007,E0,Man City,38,0.9039,1.0561,0.8675,1.148,1.447,-0.211,9,0
