athlete_id,name
3,Shareef Abdur-Rahim
6,Cory Alexander
9,Ray Allen
10,Malik Allen
11,Rafer Alston
15,Kenny Anderson
17,Shandon Anderson
18,Derek Anderson
24,Darrel Armstrong
25,Metta World Peace
26,Chucky Atkins
27,Stacey Augmon
34,Vin Baker
40,Dana Barros
41,Jon Barry
42,Brent Barry
44,Maceo Baston
45,Tony Battie
49,Raja Bell
50,Jonathan Bender
58,Travis Best
61,Mike Bibby
63,Chauncey Billups
69,Corie Blount
70,Mark Blount
77,Calvin Booth
83,Bruce Bowen
84,Ryan Bowen
87,Earl Boykins
88,Shawn Bradley
89,Torraye Braggs
91,Elton Brand
94,Primoz Brezec
99,P.J. Brown
106,Rick Brunson
110,Kobe Bryant
111,Greg Buckner
114,Rodney Buford
121,Mitchell Butler
125,Marcus Camby
127,Elden Campbell
130,Brian Cardinal
136,Vince Carter
137,Anthony Carter
138,Sam Cassell
139,Kelvin Cato
144,Calbert Cheaney
147,Doug Christie
149,Keon Clark
150,Speedy Claxton
151,Mateen Cleaves
156,Derrick Coleman
159,Bimbo Coles
161,Jason Collier
164,Chris Crawford
165,Jamal Crawford
167,Austin Croshere
176,Michael Curry
181,Erick Dampier
183,Antonio Daniels
187,Dale Davis
188,Hubert Davis
189,Antonio Davis
193,Ricky Davis
194,Baron Davis
196,Andrew DeClercq
198,Tony Delk
201,Derrick Dial
202,Kaniel Dickens
205,Vlade Divac
207,Michael Doleac
209,Keyon Dooling
211,Bryce Drew
212,Predrag Drobnjak
215,Tim Duncan
220,Howard Eisley
221,Obinna Ekezie
234,Francisco Elson
242,Michael Finley
246,Derek Fisher
247,Marcus Fizer
248,Danny Fortson
250,Jeff Foster
251,Tremaine Fowlkes
252,Rick Fox
254,Adonal Foyle
255,Steve Francis
259,Lawrence Funderburke
261,Kevin Garnett
264,Pat Garrity
267,Devean George
269,Kendall Gill
270,Eddie Gill
272,Manu Ginobili
273,Gordan Giricek
274,Dion Glover
275,Anthony Goldwire
279,Horace Grant
280,Brian Grant
281,Paul Grant
285,Adrian Griffin
287,Tom Gugliotta
291,Darvin Ham
294,Richard Hamilton
296,Zendon Hamilton
302,Anfernee Hardaway
306,Matt Harpring
307,Othella Harrington
308,Al Harrington
309,Lucious Harris
312,Jason Hart
316,Donnell Harvey
322,Alan Henderson
334,Tyrone Hill
336,Grant Hill
339,Fred Hoiberg
347,Robert Horry
348,Eddie House
349,Allan Houston
351,Juwan Howard
353,Troy Hudson
356,Larry Hughes
359,Lindsey Hunter
362,Zydrunas Ilgauskas
366,Allen Iverson
370,Mark Jackson
372,Jim Jackson
376,Bobby Jackson
377,Marc Jackson
378,Stephen Jackson
380,Jermaine Jackson
383,Jerome James
385,Antawn Jamison
387,Marko Jaric
390,Avery Johnson
393,Ervin Johnson
396,Anthony Johnson
398,DerMarr Johnson
401,Popeye Jones
402,Eddie Jones
406,Damon Jones
407,Jumaine Jones
429,Jason Kidd
434,Andrei Kirilenko
437,Kerry Kittles
440,Brevin Knight
446,Toni Kukoc
453,Christian Laettner
454,Raef LaFrentz
458,Dan Langhi
459,Rusty LaRue
465,Voshon Lenard
469,Rashard Lewis
470,Quincy Lewis
476,Randy Livingston
489,Tyronn Lue
491,George Lynch
496,Mark Madsen
497,Corey Maggette
498,Jamaal Magloire
501,Karl Malone
509,Stephon Marbury
510,Shawn Marion
511,Sean Marks
512,Donyell Marshall
514,Darrick Martin
515,Kenyon Martin
516,Jamal Mashburn
518,Desmond Mason
519,Tony Massenburg
522,Walter McCarty
525,Jelani McCoy
530,Antonio McDyess
532,Tracy McGrady
535,Jeff McInnis
539,Aaron McKie
543,Slava Medvedenko
546,Ron Mercer
549,Chris Mihm
550,Darius Miles
552,Reggie Miller
553,Oliver Miller
554,Anthony Miller
556,Brad Miller
557,Andre Miller
558,Mike Miller
566,Cuttino Mobley
568,Nazr Mohammed
570,Jerome Moiso
575,Mikki Moore
580,Alonzo Mourning
585,Tracy Murray
586,Lamond Murray
588,Dikembe Mutombo
589,Mamadou N'diaye
590,Lee Nailon
591,Eduardo Najera
592,Steve Nash
598,Rasho Nesterovic
601,Ira Newble
608,Moochie Norris
609,Dirk Nowitzki
614,Shaquille O'Neal
615,Jermaine O'Neal
616,Charles Oakley
617,Lamar Odom
620,Kevin Ollie
621,Michael Olowokandi
622,Greg Ostertag
623,Bo Outlaw
624,Doug Overton
628,Robert Pack
630,Scott Padgett
632,Milt Palacio
635,Anthony Parker
637,Cherokee Parks
638,Ruben Patterson
640,Gary Payton
642,Anthony Peeler
655,Wesley Person
656,Morris Peterson
660,Eric Piatkowski
662,Paul Pierce
663,Scottie Pippen
664,Scot Pollard
665,Olden Polynice
667,Mark Pope
671,James Posey
674,Vitaly Potapenko
681,Laron Profit
682,Joel Przybilla
683,Aleksandar Radojevic
687,Theo Ratliff
690,Zeljko Rebraca
692,Michael Redd
702,Glen Rice
703,Quentin Richardson
714,Clifford Robinson
717,Glenn Robinson
724,Eddie Robinson
729,Rodney Rogers
737,Sean Rooks
738,Jalen Rose
739,Malik Rose
741,Michael Ruffin
742,Bryon Russell
753,Daniel Santiago
767,Ansu Sesay
779,Brian Skinner
781,Steve Smith
788,Joe Smith
789,Leon Smith
793,Jabari Smith
796,Eric Snow
800,Latrell Sprewell
802,Jerry Stackhouse
805,Vladimir Stepania
808,DeShawn Stevenson
810,Michael Stewart
813,Peja Stojakovic
817,Damon Stoudamire
818,Rod Strickland
820,Erick Strickland
824,Bruno Sundov
825,Bob Sura
829,Stromile Swift
831,Wally Szczerbiak
837,Maurice Taylor
841,Jason Terry
846,Kurt Thomas
847,Tim Thomas
848,John Thomas
849,Kenny Thomas
851,Etan Thomas
857,Robert Traylor
858,Gary Trent
860,Jake Tsakalidis
862,Hedo Turkoglu
866,Ime Udoka
868,Nick Van Exel
869,Keith Van Horn
874,Jacque Vaughn
879,Jake Voskuhl
881,Antoine Walker
882,Samaki Walker
883,Rasheed Wallace
884,John Wallace
885,Ben Wallace
888,Charlie Ward
896,Clarence Weatherspoon
897,Chris Webber
901,Bonzi Wells
904,David Wesley
911,Jahidi White
913,Chris Whitney
919,Scott Williams
923,Aaron Williams
929,Eric Williams
930,Jerome Williams
931,Alvin Williams
933,Jason Williams
934,Shammond Williams
936,Corliss Williamson
937,Kevin Willis
959,Lorenzen Wright
972,ZhiZhi Wang
974,Gilbert Arenas
975,Brandon Armstrong
976,Shane Battier
977,Ruben Boumtje-Boumtje
979,Michael Bradley
980,Jamison Brewer
981,Kwame Brown
982,Kedrick Brown
983,Damone Brown
984,Tyson Chandler
987,Jason Collins
988,Jarron Collins
989,Omar Cook
990,Eddy Curry
991,Samuel Dalembert
992,DeSagana Diop
993,Alton Ford
996,Pau Gasol
997,Eddie Griffin
998,Trenton Hassell
1000,Brendan Haywood
1002,Steven Hunter
1006,Richard Jefferson
1007,Joe Johnson
1010,Sean Lampley
1011,Raul Lopez
1012,Terence Morris
1013,Troy Murphy
1014,Mehmet Okur
1015,Tony Parker
1016,Vladimir Radmanovic
1017,Zach Randolph
1018,Jason Richardson
1021,Brian Scalabrine
1022,Bobby Simmons
1023,Will Solomon
1024,Jamaal Tinsley
1025,Jeff Trepagnier
1026,Gerald Wallace
1027,Earl Watson
1028,Rodney White
1029,Loren Woods
1031,Maurice Evans
1034,Charlie Bell
1039,Amal McCaskill
1042,Charles A Smith
1051,Mike James
1055,Carlos Arroyo
1057,Tierre Brown
1063,Paul Shirley
1135,Chris Andersen
1450,Mengke Bateer
1702,Robert Archibald
1703,Carlos Boozer
1704,Curtis Borchardt
1705,Caron Butler
1706,Dan Dickau
1707,Juan Dixon
1708,Mike Dunleavy
1709,Melvin Ely
1710,Dan Gadzuric
1711,Drew Gooden
1712,Marcus Haislip
1713,Nene 
1714,Ryan Humphrey
1715,Casey Jacobsen
1716,Chris Jefferies
1717,Jared Jeffries
1718,Fred Jones
1719,Nenad Krstic
1721,Roger Mason Jr.
1722,Yao Ming
1723,Bostjan Nachbar
1724,Tayshaun Prince
1725,Kareem Rush
1726,John Salmons
1727,Amar'e Stoudemire
1728,Nikoloz Tskitishvili
1729,Dajuan Wagner
1730,Jiri Welsch
1731,Chris Wilcox
1732,Frank Williams
1734,Qyntel Woods
1765,Matt Barnes
1766,Lonny Baxter
1767,Rasual Butler
1769,Corsley Edwards
1772,Randy Holcomb
1775,Mario Kasun
1777,Ronald Murray
1778,Juan Carlos Navarro
1780,Jamal Sampson
1781,Luis Scola
1783,Tamar Slay
1784,Darius Songaila
1816,Junior Harrington
1819,Cezary Trybanski
1821,Jannero Pargo
1823,Smush Parker
1828,Reggie Evans
1858,Devin Brown
1859,Pat Burke
1860,Maurice Carter
1872,J.R. Bremer
1875,Richie Frahm
1913,Mike Wilks
1966,LeBron James
1975,Carmelo Anthony
1977,Chris Bosh
1978,Nick Collison
1979,T.J. Ford
1980,Jarvis Hayes
1981,Kirk Hinrich
1982,Chris Kaman
1985,Luke Ridnour
1987,Dwyane Wade
1991,Jerome Beasley
1993,Troy Bell
1994,Steve Blake
1995,Keith Bogans
1996,Matt Bonner
1997,Zarko Cabarkapa
1998,Brian Cook
1999,Carlos Delfino
2001,Ndudi Ebi
2002,Reece Gaines
2004,Willie Green
2005,Travis Hansen
2006,Josh Howard
2007,Brandon Hunter
2008,Dahntay Jones
2009,James Jones
2010,Jason Kapono
2011,Kyle Korver
2015,Travis Outlaw
2016,Zaza Pachulia
2018,Kendrick Perkins
2027,Luke Walton
2165,Marcus Banks
2166,Leandro Barbosa
2167,Boris Diaw
2168,Andreas Glyniadakis
2169,Maciej Lampe
2170,James Lang
2171,Darko Milicic
2172,Sasha Pavlovic
2173,Mickael Pietrus
2174,Zoran Planinic
2175,Michael Sweetney
2176,Slavko Vranes
2177,David West
2178,Mo Williams
2180,Derrick Zimmerman
2181,Theron Smith
2184,Udonis Haslem
2188,Quinton Ross
2189,Kirk Penney
2191,Britton Johnsen
2197,Josh Powell
2199,Ben Handlogten
2200,Marquis Daniels
2211,Matt Carroll
2212,Josh Davis
2214,Ronald Dupree
2215,Lynn Greer
2221,Linton Johnson
2222,Brandin Knight
2233,Alex Garcia
2241,Yuta Tabuse
2337,Shane Heal
2364,Desmond Penigar
2365,Hiram Fuller
2366,Desmond Ferguson
2367,Tony Allen
2368,Rafael Araujo
2372,Lionel Chalmers
2373,Josh Childress
2377,Chris Duhon
2380,Matt Freije
2381,Ben Gordon
2382,Devin Harris
2383,David Harrison
2384,Dwight Howard
2386,Andre Iguodala
2387,Royal Ivey
2388,Luke Jackson
2389,Al Jefferson
2393,Shaun Livingston
2394,Kevin Martin
2399,Emeka Okafor
2403,Peter John Ramos
2404,Justin Reed
2408,Ha Seung-Jin
2409,Donta Smith
2411,Josh Smith
2416,Robert Swift
2417,Sebastian Telfair
2419,Anderson Varejao
2421,Sasha Vujacic
2422,Delonte West
2423,Dorell Wright
2426,Trevor Ariza
2427,Andris Biedrins
2428,Antonio Burks
2429,Luol Deng
2431,Andre Emmett
2432,Luis Alberto Flores
2433,Kris Humphries
2435,Victor Khryapa
2438,Sergei Monia
2439,Jameer Nelson
2441,Pavel Podkolzin
2442,Bernard Robinson
2444,JR Smith
2445,Kirk Snyder
2446,Pape Sow
2447,Vasileios Spanoulis
2448,Beno Udrih
2449,Jackson Vroman
2450,Didier Ilunga-Mbenga
2453,Horace Jenkins
2454,Tony Bobbitt
2456,Andres Nocioni
2458,John Edwards
2459,Desmon Farmer
2460,Ibrahim Kutluay
2466,Jared Reiner
2477,Earl Barron
2486,Gerald Fitch
2492,Melvin Sanders
2494,Billy Thomas
2498,Geno Carlisle
2499,Erik Daniels
2506,Damien Wilkins
2508,Jackie Butler
2509,Andre Barrett
2510,Andre Brown
2512,Awvee Storey
2514,Kasib Powell
2520,James Thomas
2522,Keith McLeod
2706,Maurice Baker
2728,Mark Jones
2744,Martynas Andriuskevicius
2745,Brandon Bass
2746,Andray Blatche
2747,Andrew Bogut
2748,Andrew Bynum
2749,Travis Diener
2750,Ike Diogu
2751,Monta Ellis
2752,Daniel Ewing
2753,Raymond Felton
2754,Channing Frye
2755,Francisco Garcia
2756,Mickael Gelabale
2757,Ryan Gomes
2758,Marcin Gortat
2759,Joey Graham
2760,Danny Granger
2761,Gerald Green
2762,Orien Greene
