game_id,team,athlete_id,minutes,gs,os
271030009,GSW,167,7.0,0.2,0.0
271030009,GSW,194,36.0,23.9,18.3
271030009,GSW,308,30.0,4.9,4.6
271030009,GSW,353,16.0,-3.9,-3.8
271030009,GSW,1765,15.0,-1.9,-2.4
271030009,GSW,2173,28.0,13.2,12.0
271030009,GSW,2427,27.0,1.2,-0.6
271030009,GSW,2751,33.0,11.4,9.1
271030009,GSW,2821,31.0,6.2,5.7
271030009,GSW,3019,5.0,2.2,2.4
271030009,GSW,3190,12.0,3.0,3.0
271030009,UTA,273,18.0,4.0,4.3
271030009,UTA,306,8.0,-0.1,-0.7
271030009,UTA,312,16.0,-2.4,-2.1
271030009,UTA,434,40.0,14.9,8.9
271030009,UTA,988,1.0,0.0,0.0
271030009,UTA,1014,16.0,-4.3,-3.7
271030009,UTA,1703,36.0,24.5,22.5
271030009,UTA,2778,13.0,7.4,5.4
271030009,UTA,2798,32.0,18.9,18.9
271030009,UTA,2807,3.0,-0.7,-0.7
271030009,UTA,2991,28.0,15.6,12.5
271030009,UTA,3015,28.0,14.7,11.7
271030013,HOU,11,29.0,5.5,2.8
271030013,HOU,532,40.0,19.2,19.0
271030013,HOU,588,7.0,-0.1,0.7
271030013,HOU,901,19.0,7.4,3.7
271030013,HOU,976,37.0,6.5,5.6
271030013,HOU,1051,26.0,8.0,5.5
271030013,HOU,1722,41.0,21.4,17.9
271030013,HOU,1781,9.0,-1.3,-1.0
271030013,HOU,2763,7.0,0.3,0.7
271030013,HOU,2834,26.0,5.0,4.4
271030013,LAL,110,43.0,27.5,22.0
271030013,LAL,246,34.0,17.8,13.5
271030013,LAL,549,8.0,1.5,1.9
271030013,LAL,981,28.0,4.6,3.6
271030013,LAL,1031,14.0,0.9,0.7
271030013,LAL,1998,9.0,-0.4,-1.7
271030013,LAL,2027,39.0,6.7,5.3
271030013,LAL,2748,19.0,6.5,3.4
271030013,LAL,2789,24.0,5.2,4.0
271030013,LAL,3002,20.0,0.5,1.0
271030013,LAL,3251,1.0,0.0,0.0
271030024,POR,682,31.0,12.3,10.1
271030024,POR,1994,25.0,5.7,5.5
271030024,POR,2009,7.0,2.0,1.4
271030024,POR,2015,20.0,5.3,4.6
271030024,POR,2754,9.0,-1.9,-1.4
271030024,POR,2768,28.0,1.2,1.0
271030024,POR,2795,39.0,16.0,15.5
271030024,POR,2983,36.0,20.0,18.2
271030024,POR,3025,6.0,0.0,0.0
271030024,POR,3027,38.0,1.7,1.6
271030024,SAS,42,17.0,8.6,8.7
271030024,SAS,83,27.0,-1.2,-1.4
271030024,SAS,215,36.0,24.6,22.6
