game_id,season,week,date,home_team,away_team,provider,spread_home,spread_open,total_line,total_open,home_ml,away_ml,n_providers
2009_01_TEN_PIT,2009,1,2009-09-10,PIT,TEN,nflverse_close,-6.5,,35.5,,-260.0,228.0,1
2009_01_CHI_GB,2009,1,2009-09-13,GB,CHI,nflverse_close,-5.0,,47.0,,,,1
2009_01_DAL_TB,2009,1,2009-09-13,TB,DAL,nflverse_close,4.5,,40.0,,204.0,-230.0,1
2009_01_DEN_CIN,2009,1,2009-09-13,CIN,DEN,nflverse_close,-4.5,,41.0,,-222.0,196.0,1
2009_01_DET_NO,2009,1,2009-09-13,NO,DET,nflverse_close,-14.0,,50.0,,-840.0,660.0,1
2009_01_JAX_IND,2009,1,2009-09-13,IND,JAX,nflverse_close,-6.5,,45.0,,-270.0,238.0,1
2009_01_KC_BAL,2009,1,2009-09-13,BAL,KC,nflverse_close,-13.0,,36.5,,-700.0,570.0,1
2009_01_MIA_ATL,2009,1,2009-09-13,ATL,MIA,nflverse_close,-4.0,,44.0,,-210.0,190.0,1
2009_01_MIN_CLE,2009,1,2009-09-13,CLE,MIN,nflverse_close,4.0,,39.5,,189.0,-215.0,1
2009_01_NYJ_HOU,2009,1,2009-09-13,HOU,NYJ,nflverse_close,-4.5,,44.5,,-227.0,201.0,1
2009_01_PHI_CAR,2009,1,2009-09-13,CAR,PHI,nflverse_close,1.0,,43.5,,115.0,-125.0,1
2009_01_SF_ARI,2009,1,2009-09-13,ARI,SF,nflverse_close,-5.0,,45.5,,-233.0,207.0,1
2009_01_STL_SEA,2009,1,2009-09-13,SEA,LA,nflverse_close,-7.0,,41.0,,,,1
2009_01_WAS_NYG,2009,1,2009-09-13,NYG,WAS,nflverse_close,-6.0,,37.0,,,,1
2009_01_BUF_NE,2009,1,2009-09-14,NE,BUF,nflverse_close,-13.5,,47.5,,,,1
2009_01_SD_OAK,2009,1,2009-09-14,LV,LAC,nflverse_close,10.0,,43.0,,,,1
2009_02_ARI_JAX,2009,2,2009-09-20,JAX,ARI,nflverse_close,-3.0,,42.5,,-157.0,142.0,1
2009_02_BAL_SD,2009,2,2009-09-20,LAC,BAL,nflverse_close,-3.0,,40.0,,-140.0,128.0,1
2009_02_CAR_ATL,2009,2,2009-09-20,ATL,CAR,nflverse_close,-5.5,,43.5,,,,1
2009_02_CIN_GB,2009,2,2009-09-20,GB,CIN,nflverse_close,-7.5,,42.0,,,,1
2009_02_CLE_DEN,2009,2,2009-09-20,DEN,CLE,nflverse_close,-3.0,,38.5,,,,1
2009_02_HOU_TEN,2009,2,2009-09-20,TEN,HOU,nflverse_close,-7.0,,40.5,,,,1
2009_02_MIN_DET,2009,2,2009-09-20,DET,MIN,nflverse_close,10.0,,45.0,,405.0,-475.0,1
2009_02_NE_NYJ,2009,2,2009-09-20,NYJ,NE,nflverse_close,3.5,,45.0,,,,1
2009_02_NO_PHI,2009,2,2009-09-20,PHI,NO,nflverse_close,2.5,,46.0,,,,1
2009_02_NYG_DAL,2009,2,2009-09-20,DAL,NYG,nflverse_close,-3.0,,45.5,,,,1
2009_02_OAK_KC,2009,2,2009-09-20,KC,LV,nflverse_close,-1.5,,40.0,,,,1
2009_02_PIT_CHI,2009,2,2009-09-20,CHI,PIT,nflverse_close,1.0,,37.5,,121.0,-133.0,1
2009_02_SEA_SF,2009,2,2009-09-20,SF,SEA,nflverse_close,-1.0,,39.5,,-108.0,-102.0,1
2009_02_STL_WAS,2009,2,2009-09-20,WAS,LA,nflverse_close,-10.0,,37.0,,-500.0,420.0,1
2009_02_TB_BUF,2009,2,2009-09-20,BUF,TB,nflverse_close,-4.5,,42.0,,-200.0,180.0,1
2009_02_IND_MIA,2009,2,2009-09-21,MIA,IND,nflverse_close,3.0,,41.0,,142.0,-152.0,1
