game_id,season,week,season_type,playoff_round,date,tip_et,kickoff_utc,start_time_tbd,weekday,home_team,away_team,home_div,away_div,neutral_site,div_game,is_indoor,wind,temp,home_qb,away_qb,h_qb_new,a_qb_new,h_rest,a_rest,rest_diff,a_travel_km,a_tz_shift,total_line,spread_home,provider,over_price,under_price,spread_home_price,spread_away_price,total_book,spread_book,h_games,a_games,exp_total,exp_margin,total_pred,total_raw,total_edge,total_side_val,total_disagree,total_sigma,total_model,total_p_over,margin_pred,margin_raw,margin_edge,margin_side_val,margin_disagree,margin_sigma,margin_model,margin_p_over,total_pick,total_p_win,total_price,total_payout,total_ev,total_stake,spread_side,spread_number,spread_pick,spread_p_win,spread_price,spread_payout,spread_ev,spread_stake,thin_data,p_home_win,p_away_win,kalshi_home_ask,kalshi_away_ask,kalshi_home_ev,kalshi_away_ev,kalshi_side,kalshi_ticker,kalshi_tradeable,ml_pick,ml_ask,ml_p_home,ml_ev,ml_roi,ml_stake,ml_model_cents,ml_ref_ask,ml_ref_prob,ml_ref_ev,ml_ref_side,kt_pick,kt_ticker,ks_pick,ks_ticker,ks_ref_side,kt_ref_tradeable,ks_ref_tradeable,kt_strike,kt_ask,kt_prob,kt_ev,kt_book_gap,kt_rungs,ks_strike,ks_ask,ks_prob,ks_ev,ks_book_gap,ks_rungs,kt_ref_strike,kt_ref_ask,kt_ref_prob,kt_ref_ev,kt_ref_spread_c,ks_ref_strike,ks_ref_ask,ks_ref_prob,ks_ref_ev,ks_ref_spread_c,kalshi_incoherent,kt_pays,kt_fair,kt_edge_pct,ks_pays,ks_fair,ks_edge_pct,ml_pays,ml_fair,ml_edge_pct,total_strength,spread_strength,prediction_date
2026_01_NE_SEA,2026,1,REG,0,2026-09-09,"Wed Sep 09, 8:20 PM",2026-09-09T20:20:00-04:00,False,Wednesday,SEA,NE,NFC West,AFC East,False,False,0,,,Sam Darnold,Drake Maye,0.0,0.0,7.0,7.0,0.0,3998.5,-3,44.5,-3.0,nflverse_close,,,,,,,0,0,41.90420876465773,6.918266467873351,44.3,42.7,-0.2,-0.1801300048828125,-1.8,13.22,total_market,0.4946,2.7,1.3,-0.3,-0.25907058119773874,-1.7,12.77,margin_market,0.4919,Under,0.5054000000000001,,0.9090909090909091,-0.035,0.0,NE,3.0,NE +3.0,0.5081,,0.9090909090909091,-0.03,0.0,True,0.5837,0.4163,,,,,,,False,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,pass,pass,2026-09-08
2026_01_SF_LA,2026,1,REG,0,2026-09-10,"Thu Sep 10, 8:35 PM",2026-09-10T20:35:00-04:00,False,Thursday,LA,SF,NFC West,NFC West,True,True,1,,,Matthew Stafford,Brock Purdy,0.0,0.0,7.0,7.0,0.0,12669.8,-6,48.5,-3.5,nflverse_close,,,,,,,0,0,53.009628019836896,3.5170170955287654,48.4,47.9,-0.1,-0.06211547851562216,-0.6,13.22,total_market,0.4981,3.7,4.5,0.2,0.1528766870498659,1.0,12.77,margin_market,0.5048,Under,0.5019,,0.9090909090909091,-0.042,0.0,LA,-3.5,LA -3.5,0.5048,,0.9090909090909091,-0.036,0.0,True,0.614,0.386,,,,,,,False,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,pass,pass,2026-09-08
2026_01_ATL_PIT,2026,1,REG,0,2026-09-13,"Sun Sep 13, 1:00 PM",2026-09-13T13:00:00-04:00,False,Sunday,PIT,ATL,AFC North,NFC South,False,False,0,,,Aaron Rodgers,Tua Tagovailoa,0.0,1.0,7.0,7.0,0.0,839.3,0,42.5,-3.5,nflverse_close,,,,,,,0,0,42.78345855757496,0.19063510276636242,42.3,40.9,-0.2,-0.16220245361328267,-1.6,13.22,total_market,0.4951,3.5,3.5,-0.0,-0.00016933679580688477,-0.0,12.77,margin_market,0.5,Under,0.5049,,0.9090909090909091,-0.036,0.0,ATL,3.5,ATL +3.5,0.5,,0.9090909090909091,-0.045,0.0,True,0.608,0.392,,,,,,,False,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,pass,pass,2026-09-08
2026_01_BAL_IND,2026,1,REG,0,2026-09-13,"Sun Sep 13, 1:00 PM",2026-09-13T13:00:00-04:00,False,Sunday,IND,BAL,AFC South,AFC North,False,False,0,,,Daniel Jones,Lamar Jackson,1.0,0.0,7.0,7.0,0.0,819.8,0,47.5,3.5,nflverse_close,,,,,,,0,0,49.78176594437362,-0.8608135913459243,47.4,46.6,-0.1,-0.09387550354004048,-0.9,13.22,total_market,0.4972,-3.8,-5.7,-0.3,-0.33091099262237567,-2.2,12.77,margin_market,0.4897,Under,0.5028,,0.9090909090909091,-0.04,0.0,BAL,-3.5,BAL -3.5,0.5103,,0.9090909090909091,-0.026,0.0,True,0.383,0.617,,,,,,,False,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,pass,pass,2026-09-08
2026_01_BUF_HOU,2026,1,REG,0,2026-09-13,"Sun Sep 13, 1:00 PM",2026-09-13T13:00:00-04:00,False,Sunday,HOU,BUF,AFC South,AFC East,False,False,0,,,C.J. Stroud,Josh Allen,0.0,0.0,7.0,7.0,0.0,2076.3,-1,44.5,1.5,nflverse_close,,,,,,,0,0,47.24991416571865,2.167414809598255,44.2,41.7,-0.3,-0.28366127014160014,-2.8,13.22,total_market,0.4914,-1.0,1.8,0.5,0.5002359867095947,3.3,12.77,margin_market,0.5156,Under,0.5085999999999999,,0.9090909090909091,-0.029,0.0,HOU,1.5,HOU +1.5,0.5156,,0.9090909090909091,-0.016,0.0,True,0.4688,0.5312,,,,,,,False,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,pass,pass,2026-09-08
2026_01_CHI_CAR,2026,1,REG,0,2026-09-13,"Sun Sep 13, 1:00 PM",2026-09-13T13:00:00-04:00,False,Sunday,CAR,CHI,NFC South,NFC North,False,False,0,,,Bryce Young,Caleb Williams,0.0,0.0,7.0,7.0,0.0,943.0,1,47.5,3.0,nflverse_close,,,,,,,0,0,43.15713641159189,-1.4311138923775901,47.4,46.9,-0.1,-0.05793457031249716,-0.6,13.22,total_market,0.4983,-2.5,0.0,0.5,0.4529977393336595,3.0,12.77,margin_market,0.5141,Under,0.5017,,0.9090909090909091,-0.042,0.0,CAR,3.0,CAR +3.0,0.5141,,0.9090909090909091,-0.019,0.0,True,0.4224,0.5776,,,,,,,False,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,pass,pass,2026-09-08
2026_01_CLE_JAX,2026,1,REG,0,2026-09-13,"Sun Sep 13, 1:00 PM",2026-09-13T13:00:00-04:00,False,Sunday,JAX,CLE,AFC South,AFC North,False,False,0,,,Trevor Lawrence,Deshaun Watson,0.0,1.0,7.0,7.0,0.0,1243.4,0,40.5,-8.5,nflverse_close,,,,,,,0,0,41.19034968805222,9.326313643520878,41.0,45.9,0.5,0.5369522094726591,5.4,13.22,total_market,0.5162,8.6,8.8,0.1,0.05114536285400462,0.3,12.77,margin_market,0.5016,Over,0.5162,,0.9090909090909091,-0.015,0.0,JAX,-8.5,JAX -8.5,0.5016,,0.9090909090909091,-0.042,0.0,True,0.7497,0.2503,,,,,,,False,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,pass,pass,2026-09-08
2026_01_NO_DET,2026,1,REG,0,2026-09-13,"Sun Sep 13, 1:00 PM",2026-09-13T13:00:00-04:00,False,Sunday,DET,NO,NFC North,NFC South,False,False,1,,,Jared Goff,Tyler Shough,0.0,0.0,7.0,7.0,0.0,1514.1,1,49.5,-7.0,nflverse_close,,,,,,,0,0,45.36979729589413,3.32253568992468,49.3,47.1,-0.2,-0.24411849975585653,-2.4,13.22,total_market,0.4926,6.8,6.0,-0.2,-0.15261654853820783,-1.0,12.77,margin_market,0.4952,Under,0.5074000000000001,,0.9090909090909091,-0.031,0.0,NO,7.0,NO +7.0,0.5048,,0.9090909090909091,-0.036,0.0,True,0.7028,0.2972,,,,,,,False,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,pass,pass,2026-09-08
2026_01_NYJ_TEN,2026,1,REG,0,2026-09-13,"Sun Sep 13, 1:00 PM",2026-09-13T13:00:00-04:00,False,Sunday,TEN,NYJ,AFC South,AFC East,False,False,0,,,Cam Ward,Geno Smith,0.0,1.0,7.0,7.0,0.0,1218.3,-1,39.5,-1.5,nflverse_close,,,,,,,0,0,47.236404812882455,7.20015183042814,39.8,42.2,0.3,0.2705402374267578,2.7,13.22,total_market,0.5082,0.7,-3.6,-0.8,-0.7608582615852356,-5.1,12.77,margin_market,0.4762,Over,0.5082,,0.9090909090909091,-0.03,0.0,NYJ,1.5,NYJ +1.5,0.5238,,0.9090909090909091,-0.0,0.0,True,0.5219,0.4781,,,,,,,False,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,pass,thin,2026-09-08
2026_01_TB_CIN,2026,1,REG,0,2026-09-13,"Sun Sep 13, 1:00 PM",2026-09-13T13:00:00-04:00,False,Sunday,CIN,TB,AFC North,NFC South,False,False,0,,,Joe Burrow,Baker Mayfield,0.0,0.0,7.0,7.0,0.0,1250.3,0,50.5,-3.5,nflverse_close,,,,,,,0,0,48.721586681054646,4.226384439215478,50.6,51.9,0.1,0.14232025146484517,1.4,13.22,total_market,0.5043,3.7,4.5,0.2,0.1518177509307863,1.0,12.77,margin_market,0.5047,Over,0.5043,,0.9090909090909091,-0.037,0.0,CIN,-3.5,CIN -3.5,0.5047,,0.9090909090909091,-0.036,0.0,True,0.614,0.386,,,,,,,False,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,pass,pass,2026-09-08
