game_id,season,matchweek,date,kickoff,kickoff_uk,league,home_team,away_team,is_derby,travel_km,no_crowd,h_promoted,a_promoted,h_in_europe,a_in_europe,h_rest,a_rest,rest_diff,h_games,a_games,exp_sup,exp_total,ah_home,total_line,mkt_sup,mkt_total,mkt_p_home,mkt_p_draw,mkt_p_away,odds_source,is_closing,price_home,price_draw,price_away,price_over,price_under,price_ah_home,price_ah_away,book_1x2,book_ou,total_pred,total_raw,total_edge,total_side_val,total_disagree,total_model,sup_pred,sup_raw,sup_edge,sup_side_val,sup_disagree,sup_model,ah_pick,total_pick,x2_pick,x2_side,score,p_home,p_draw,p_away,p_btts,score_prob,fair_ah,ah_p_win,ah_p_push,ah_price,ah_ev,ah_stake,total_p_win,total_p_push,total_price,total_ev,total_stake,x2_p_win,x2_price,x2_ev,x2_stake,x2_mkt_p,x2_edge_pct,thin_data,ah_strength,total_strength,spread_strength,prediction_date
2026_astonvilla_nottmforest,2026,7,2026-09-12,15:00,"Sat 12 Sep, 15:00",E0,Aston Villa,Nott'm Forest,0,69.7,0,0,0,1,0,12.0,14.0,-2.0,2,2,0.07340837640825937,2.7581566641644657,,2.5,0.296,2.589,0.43051615920314573,0.2726413335432929,0.29684250725356137,odds-api:Pinnacle,False,2.26,3.53,3.25,2.03,1.87,,,Pinnacle,Pinnacle,2.572,2.505,-0.017,-0.016756203460693175,-0.084,total_market,0.296,0.049,0.0,0.0,-0.247,sup_market,,Under 2.5,Aston Villa,home,1-1,0.4334,0.2721,0.2945,0.5226,0.1296,-0.25,,,,,,0.5255,0.0,1.87,-0.0173,0.0,0.4334,2.26,-0.0206,0.0,0.4305,0.7,True,pass,pass,pass,2026-09-09
2026_bournemouth_brentford,2026,7,2026-09-12,15:00,"Sat 12 Sep, 15:00",E0,Bournemouth,Brentford,0,137.0,0,0,0,1,0,14.0,13.0,1.0,2,2,0.3002960693912293,2.6987719787379634,,3.0,0.067,3.591,0.3868143011059429,0.2568776802918778,0.3563080186021793,odds-api:Pinnacle,False,2.51,3.74,2.72,2.01,1.88,,,Pinnacle,Pinnacle,3.497,3.119,-0.094,-0.09437378234863303,-0.472,total_market,0.067,0.192,0.0,0.0,0.125,sup_market,,Under 3,Brentford,away,1-1,0.3986,0.2302,0.3712,0.6857,0.0963,0.0,,,,,,0.3214,0.2159,1.88,-0.1799,0.0,0.3712,2.72,0.0095,0.07,0.3563,4.2,True,pass,pass,pass,2026-09-09
2026_chelsea_hull,2026,7,2026-09-12,15:00,"Sat 12 Sep, 15:00",E0,Chelsea,Hull,0,252.1,0,0,1,0,1,13.0,14.0,-1.0,2,2,0.4796934571569196,3.0172847760891828,,3.25,1.861,3.788,0.7935761906165453,0.14830731268007113,0.058116496703383654,odds-api:Pinnacle,False,1.23,6.21,14.41,1.85,2.03,,,Pinnacle,Pinnacle,3.804,3.87,0.016,0.016364309692382673,0.082,total_market,1.861,1.653,0.0,0.0,-0.208,sup_market,,Over 3.25,Hull,away,2-0,0.7553,0.1461,0.0986,0.5873,0.0894,-1.75,,,,,,0.5272,0.0,1.85,-0.0246,0.0,0.0986,14.41,0.4211,0.39,0.0581,69.7,True,pass,pass,pass,2026-09-09
2026_crystalpalace_ipswich,2026,7,2026-09-12,15:00,"Sat 12 Sep, 15:00",E0,Crystal Palace,Ipswich,0,111.9,0,0,1,0,1,15.0,13.0,2.0,2,2,0.6014283779723453,2.954461156350044,,2.75,0.606,2.568,0.513243194777706,0.2443385916641774,0.24241821355811663,odds-api:Pinnacle,False,1.9,3.92,3.95,2.05,1.85,,,Pinnacle,Pinnacle,2.546,2.456,-0.022,-0.02231090888977061,-0.112,total_market,0.606,0.631,0.0,0.0,0.025,sup_market,,Under 2.75,Draw,draw,1-1,0.5099,0.2622,0.2279,0.4973,0.1246,-0.5,,,,,,0.5321,0.0,1.85,-0.0157,0.0,0.2622,3.92,0.0278,0.12,0.2443,7.3,True,pass,pass,pass,2026-09-09
2026_liverpool_fulham,2026,7,2026-09-12,15:00,"Sat 12 Sep, 15:00",E0,Liverpool,Fulham,0,285.9,0,0,0,1,0,14.0,13.0,1.0,2,2,0.6987506592049895,2.945122309964586,,3.25,1.225,3.603,0.6648143981475546,0.19335675287494153,0.14182884897750403,odds-api:Pinnacle,False,1.47,4.89,6.56,2.0,1.89,,,Pinnacle,Pinnacle,3.559,3.381,-0.044,-0.044454923248291145,-0.222,total_market,1.225,1.219,0.0,0.0,-0.006,sup_market,,Under 3.25,Fulham,away,2-1,0.6416,0.1903,0.1681,0.6289,0.095,-1.25,,,,,,0.524,0.0,1.89,-0.0097,0.0,0.1681,6.56,0.1026,0.23,0.1418,18.5,True,pass,pass,pass,2026-09-09
2026_tottenham_everton,2026,7,2026-09-12,17:30,"Sat 12 Sep, 17:30",E0,Tottenham,Everton,0,283.0,0,0,0,0,0,14.0,14.0,0.0,2,2,-0.2826788824910236,2.5479351280847715,,2.5,0.449,2.658,0.4702699413926933,0.261470238418819,0.26825982018848776,odds-api:Pinnacle,False,2.07,3.67,3.58,1.96,1.93,,,Pinnacle,Pinnacle,2.671,2.721,0.013,0.012529657745361522,0.063,total_market,0.449,0.428,0.0,0.0,-0.021,sup_market,,Over 2.5,Tottenham,home,1-1,0.4722,0.2618,0.266,0.5346,0.1247,-0.5,,,,,,0.4992,0.0,1.96,-0.0215,0.0,0.4722,2.07,-0.0226,0.0,0.4703,0.4,True,pass,pass,pass,2026-09-09
2026_sunderland_arsenal,2026,7,2026-09-12,20:00,"Sat 12 Sep, 20:00",E0,Sunderland,Arsenal,0,383.1,0,0,0,0,1,13.0,12.0,1.0,2,2,-0.6723045200479509,2.2583561695538874,,2.25,-1.224,2.794,0.1293378882159648,0.21855401109827577,0.6521081006857594,odds-api:Pinnacle,False,7.18,4.36,1.5,1.84,2.06,,,Pinnacle,Pinnacle,2.789,2.771,-0.005,-0.004654091644287206,-0.023,total_market,-1.224,-0.85,0.0,0.0,0.374,sup_market,,Under 2.25,Arsenal,away,0-2,0.1328,0.2109,0.6562,0.4736,0.1238,1.25,,,,,,0.4721,0.0,2.06,-0.0275,0.0,0.6562,1.5,-0.0156,0.0,0.6521,0.6,True,pass,pass,pass,2026-09-09
2026_coventry_brighton,2026,7,2026-09-13,14:00,"Sun 13 Sep, 14:00",E0,Coventry,Brighton,0,201.5,0,1,0,1,0,15.0,14.0,1.0,2,2,-0.6656106488046998,2.8098309728773385,,2.75,-0.632,2.621,0.2329517219954187,0.25211975062384995,0.5149285273807312,odds-api:Pinnacle,False,4.09,3.79,1.89,1.99,1.89,,,Pinnacle,Pinnacle,2.651,2.772,0.03,0.030199633407592685,0.151,total_market,-0.632,-0.691,0.0,0.0,-0.059,sup_market,,Over 2.75,Brighton,away,1-1,0.228,0.2553,0.5167,0.5172,0.1216,0.5,,,,,,0.4943,0.0,1.99,-0.0164,0.0,0.5167,1.89,-0.0234,0.0,0.5149,0.4,True,pass,pass,pass,2026-09-09
2026_manunited_mancity,2026,7,2026-09-13,16:30,"Sun 13 Sep, 16:30",E0,Man United,Man City,1,6.4,0,0,0,1,1,14.0,16.0,-2.0,2,2,-0.23497427856634268,3.266911037787289,,3.0,-0.305,3.786,0.30662666547732087,0.24872095574998612,0.4446523787726931,odds-api:Pinnacle,False,3.15,3.86,2.19,1.86,2.04,,,Pinnacle,Pinnacle,3.685,3.279,-0.101,-0.10144576759338397,-0.507,total_market,-0.305,-0.417,0.0,0.0,-0.112,sup_market,,Under 3,Man United,home,1-1,0.3286,0.221,0.4504,0.7079,0.088,0.25,,,,,,0.288,0.2093,2.04,-0.2032,0.0,0.3286,3.15,0.0351,0.2,0.3066,7.2,True,pass,pass,pass,2026-09-09
2026_leeds_newcastle,2026,7,2026-09-14,20:00,"Mon 14 Sep, 20:00",E0,Leeds,Newcastle,0,133.2,0,0,0,0,0,15.0,16.0,-1.0,2,2,0.15090263996791764,2.731408659320713,,2.75,0.161,2.573,0.4000966310016276,0.27289844811826924,0.3270049208801031,odds-api:Pinnacle,False,2.43,3.53,2.96,2.04,1.85,,,Pinnacle,Pinnacle,2.581,2.612,0.008,0.00787648239135752,0.039,total_market,0.161,-0.006,0.0,0.0,-0.167,sup_market,,Over 2.75,Leeds,home,1-1,0.4008,0.2741,0.3252,0.5287,0.1306,-0.25,,,,,,0.4768,0.0,2.04,-0.0273,0.0,0.4008,2.43,-0.0261,0.0,0.4001,0.2,True,pass,pass,pass,2026-09-09
