game_id,season,week,season_type,playoff_round,date,tip_et,kickoff_utc,start_time_tbd,weekday,home_team,away_team,home_div,away_div,neutral_site,div_game,is_indoor,wind,temp,home_qb,away_qb,h_qb_new,a_qb_new,h_rest,a_rest,rest_diff,a_travel_km,a_tz_shift,total_line,spread_home,provider,over_price,under_price,spread_home_price,spread_away_price,total_book,spread_book,h_games,a_games,exp_total,exp_margin,total_pred,total_raw,total_edge,total_side_val,total_disagree,total_sigma,total_model,total_p_over,margin_pred,margin_raw,margin_edge,margin_side_val,margin_disagree,margin_sigma,margin_model,margin_p_over,total_pick,total_p_win,total_price,total_payout,total_ev,total_stake,spread_side,spread_number,spread_pick,spread_p_win,spread_price,spread_payout,spread_ev,spread_stake,thin_data,p_home_win,p_away_win,kalshi_home_ask,kalshi_away_ask,kalshi_home_ev,kalshi_away_ev,kalshi_side,kalshi_ticker,kalshi_tradeable,ml_pick,ml_ask,ml_p_home,ml_ev,ml_roi,ml_stake,ml_model_cents,ml_ref_ask,ml_ref_prob,ml_ref_ev,ml_ref_side,kt_pick,kt_ticker,ks_pick,ks_ticker,ks_ref_side,kt_ref_tradeable,ks_ref_tradeable,kt_strike,kt_ask,kt_prob,kt_ev,kt_book_gap,kt_rungs,ks_strike,ks_ask,ks_prob,ks_ev,ks_book_gap,ks_rungs,kt_ref_strike,kt_ref_ask,kt_ref_prob,kt_ref_ev,kt_ref_spread_c,ks_ref_strike,ks_ref_ask,ks_ref_prob,ks_ref_ev,ks_ref_spread_c,kalshi_incoherent,kt_pays,kt_fair,kt_edge_pct,ks_pays,ks_fair,ks_edge_pct,ml_pays,ml_fair,ml_edge_pct,total_strength,spread_strength,prediction_date
2026_01_NE_SEA,2026,1,REG,0,2026-09-09,"Wed Sep 09, 8:20 PM",2026-09-09T20:20:00-04:00,False,Wednesday,SEA,NE,NFC West,AFC East,False,False,0,,,Sam Darnold,Drake Maye,0.0,0.0,7.0,7.0,0.0,3998.5,-3,44.5,-3.0,nflverse_close,,,,,,,0,0,41.904208764657724,6.91826648317802,44.4,44.1,-0.1,-0.08216476440429688,-0.4,13.2,total_market,0.4975,2.9,2.3,-0.1,-0.1395186901092531,-0.7,12.76,margin_market,0.4956,Under,0.5025,,0.9090909090909091,-0.041,0.0,NE,3.0,NE +3.0,0.5044,,0.9090909090909091,-0.037,0.0,True,0.5899,0.4101,,,,,,,False,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,pass,pass,2026-09-08
2026_01_SF_LA,2026,1,REG,0,2026-09-10,"Thu Sep 10, 8:35 PM",2026-09-10T20:35:00-04:00,False,Thursday,LA,SF,NFC West,NFC West,True,True,1,,,Matthew Stafford,Brock Purdy,0.0,0.0,7.0,7.0,0.0,12669.8,-6,48.5,-3.5,nflverse_close,,,,,,,0,0,53.009628019836896,3.517017103936142,48.2,47.2,-0.3,-0.26475830078125284,-1.3,13.2,total_market,0.492,3.7,4.5,0.2,0.19402856826782244,1.0,12.76,margin_market,0.5061,Under,0.508,,0.9090909090909091,-0.03,0.0,LA,-3.5,LA -3.5,0.5061,,0.9090909090909091,-0.034,0.0,True,0.6141,0.3859,,,,,,,False,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,pass,pass,2026-09-08
2026_01_ATL_PIT,2026,1,REG,0,2026-09-13,"Sun Sep 13, 1:00 PM",2026-09-13T13:00:00-04:00,False,Sunday,PIT,ATL,AFC North,NFC South,False,False,0,,,Aaron Rodgers,Tua Tagovailoa,0.0,1.0,7.0,7.0,0.0,839.3,0,42.5,-3.5,nflverse_close,,,,,,,0,0,42.78345855757497,0.19063507640275157,42.1,40.6,-0.4,-0.3773147583007841,-1.9,13.2,total_market,0.4886,3.5,3.6,0.0,0.017583465576171964,0.1,12.76,margin_market,0.5005,Under,0.5114000000000001,,0.9090909090909091,-0.024,0.0,PIT,-3.5,PIT -3.5,0.5005,,0.9090909090909091,-0.045,0.0,True,0.6081,0.3919,,,,,,,False,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,pass,pass,2026-09-08
2026_01_BAL_IND,2026,1,REG,0,2026-09-13,"Sun Sep 13, 1:00 PM",2026-09-13T13:00:00-04:00,False,Sunday,IND,BAL,AFC South,AFC North,False,False,0,,,Daniel Jones,Lamar Jackson,1.0,0.0,7.0,7.0,0.0,819.8,0,47.5,3.5,nflverse_close,,,,,,,0,0,49.78176594437362,-0.8608135974430204,47.5,47.6,0.0,0.02282562255859233,0.1,13.2,total_market,0.5007,-4.0,-6.0,-0.5,-0.49482526779174796,-2.5,12.76,margin_market,0.4845,Over,0.5007,,0.9090909090909091,-0.044,0.0,BAL,-3.5,BAL -3.5,0.5155000000000001,,0.9090909090909091,-0.016,0.0,True,0.377,0.623,,,,,,,False,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,pass,pass,2026-09-08
2026_01_BUF_HOU,2026,1,REG,0,2026-09-13,"Sun Sep 13, 1:00 PM",2026-09-13T13:00:00-04:00,False,Sunday,HOU,BUF,AFC South,AFC East,False,False,0,,,C.J. Stroud,Josh Allen,0.0,0.0,7.0,7.0,0.0,2076.3,-1,44.5,1.5,nflverse_close,,,,,,,0,0,47.24991416571864,2.167414807273139,44.1,42.3,-0.4,-0.4316352844238267,-2.2,13.2,total_market,0.487,-0.7,2.3,0.8,0.7630170822143555,3.8,12.76,margin_market,0.5238,Under,0.513,,0.9090909090909091,-0.021,0.0,HOU,1.5,HOU +1.5,0.5238,,0.9090909090909091,-0.0,0.0,True,0.4781,0.5219,,,,,,,False,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,pass,pass,2026-09-08
2026_01_CHI_CAR,2026,1,REG,0,2026-09-13,"Sun Sep 13, 1:00 PM",2026-09-13T13:00:00-04:00,False,Sunday,CAR,CHI,NFC South,NFC North,False,False,0,,,Bryce Young,Caleb Williams,0.0,0.0,7.0,7.0,0.0,943.0,1,47.5,3.0,nflverse_close,,,,,,,0,0,43.15713641159189,-1.4311138835364223,47.4,47.1,-0.1,-0.08457260131835653,-0.4,13.2,total_market,0.4974,-2.2,0.9,0.8,0.7824295878410341,3.9,12.76,margin_market,0.5244,Under,0.5025999999999999,,0.9090909090909091,-0.04,0.0,CAR,3.0,CAR +3.0,0.5244,,0.9090909090909091,0.001,0.02,True,0.4316,0.5684,,,,,,,False,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,pass,pass,2026-09-08
2026_01_CLE_JAX,2026,1,REG,0,2026-09-13,"Sun Sep 13, 1:00 PM",2026-09-13T13:00:00-04:00,False,Sunday,JAX,CLE,AFC South,AFC North,False,False,0,,,Trevor Lawrence,Deshaun Watson,0.0,1.0,7.0,7.0,0.0,1243.4,0,40.5,-8.5,nflverse_close,,,,,,,0,0,41.19034968805222,9.326313638597327,41.7,46.7,1.2,1.2472167968750014,6.2,13.2,total_market,0.5376,8.6,8.8,0.1,0.0662984848022461,0.3,12.76,margin_market,0.5021,Over,0.5376,,0.9090909090909091,0.026,0.36,JAX,-8.5,JAX -8.5,0.5021,,0.9090909090909091,-0.041,0.0,True,0.7498,0.2502,,,,,,,False,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,thin,pass,2026-09-08
2026_01_NO_DET,2026,1,REG,0,2026-09-13,"Sun Sep 13, 1:00 PM",2026-09-13T13:00:00-04:00,False,Sunday,DET,NO,NFC North,NFC South,False,False,1,,,Jared Goff,Tyler Shough,0.0,0.0,7.0,7.0,0.0,1514.1,1,49.5,-7.0,nflverse_close,,,,,,,0,0,45.36979729589413,3.322535691279365,49.1,47.5,-0.4,-0.39894790649414347,-2.0,13.2,total_market,0.4879,6.6,5.0,-0.4,-0.4099228858947752,-2.0,12.76,margin_market,0.4872,Under,0.5121,,0.9090909090909091,-0.022,0.0,NO,7.0,NO +7.0,0.5127999999999999,,0.9090909090909091,-0.021,0.0,True,0.6975,0.3025,,,,,,,False,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,pass,pass,2026-09-08
2026_01_NYJ_TEN,2026,1,REG,0,2026-09-13,"Sun Sep 13, 1:00 PM",2026-09-13T13:00:00-04:00,False,Sunday,TEN,NYJ,AFC South,AFC East,False,False,0,,,Cam Ward,Geno Smith,0.0,1.0,7.0,7.0,0.0,1218.3,-1,39.5,-1.5,nflverse_close,,,,,,,0,0,47.23640481288244,7.200151827021108,40.1,42.4,0.6,0.5804183959960909,2.9,13.2,total_market,0.5175,0.5,-3.3,-1.0,-0.9534580707550049,-4.8,12.76,margin_market,0.4702,Over,0.5175,,0.9090909090909091,-0.012,0.0,NYJ,1.5,NYJ +1.5,0.5298,,0.9090909090909091,0.011,0.16,True,0.5156,0.4844,,,,,,,False,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,pass,pass,2026-09-08
2026_01_TB_CIN,2026,1,REG,0,2026-09-13,"Sun Sep 13, 1:00 PM",2026-09-13T13:00:00-04:00,False,Sunday,CIN,TB,AFC North,NFC South,False,False,0,,,Joe Burrow,Baker Mayfield,0.0,0.0,7.0,7.0,0.0,1250.3,0,50.5,-3.5,nflverse_close,,,,,,,0,0,48.721586681054646,4.226384409212724,50.9,52.5,0.4,0.3903457641601591,2.0,13.2,total_market,0.5118,3.5,3.5,-0.0,-0.00161113739013663,-0.0,12.76,margin_market,0.4999,Over,0.5118,,0.9090909090909091,-0.023,0.0,TB,3.5,TB +3.5,0.5001,,0.9090909090909091,-0.045,0.0,True,0.6081,0.3919,,,,,,,False,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,pass,pass,2026-09-08
